Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bam Adebayo,PF,22,MIA,72,72,33.6,6.1,11.0,.557,0.0,0.2,.143,6.1,10.8,.564,.558,3.7,5.3,.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9
Kyle Alexander,C,23,MIA,2,0,6.5,0.5,1.0,.500,0.0,0.0,0,0.5,1.0,.500,.500,0.0,0.0,0,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0
Grayson Allen,SG,24,MEM,38,0,18.9,3.1,6.6,.466,1.5,3.7,.404,1.6,2.9,.545,.580,1.0,1.2,.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7
Jarrett Allen,C,21,BRK,70,64,26.5,4.3,6.6,.649,0.0,0.1,.000,4.3,6.6,.658,.649,2.4,3.9,.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1
Justin Anderson,SG,26,BRK,10,1,10.7,1.0,3.8,.263,0.6,2.9,.207,0.4,0.9,.444,.342,0.2,0.4,.500,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8
Kyle Anderson,SF,26,MEM,67,28,19.9,2.3,4.9,.474,0.4,1.3,.282,2.0,3.7,.541,.511,0.8,1.2,.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8
Ryan Anderson,C,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,0,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
Kostas Antetokounmpo,PF,22,LAL,5,0,4.0,0.6,0.6,1.000,0.0,0.0,0,0.6,0.6,1.000,1.000,0.2,0.4,.500,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4
Ryan Arcidiacono,PG,25,CHI,58,4,16.0,1.6,3.8,.409,0.9,2.4,.391,0.6,1.4,.439,.532,0.5,0.7,.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
Dwayne Bacon,SG,24,CHO,39,11,17.6,2.2,6.3,.348,0.5,1.7,.284,1.7,4.5,.373,.387,0.9,1.4,.660,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7
J.J. Barea,PG,35,DAL,29,6,15.5,2.9,7.1,.411,1.1,2.9,.376,1.8,4.2,.434,.488,0.7,0.8,.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7
Will Barton,SF,29,DEN,58,58,33.0,5.7,12.7,.450,1.9,5.0,.375,3.9,7.8,.498,.523,1.8,2.3,.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1
Keita Bates-Diop,PF,24,MIN,37,0,17.5,2.4,5.6,.422,0.8,2.5,.330,1.5,3.0,.500,.498,1.2,1.8,.708,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0,6.8
Keita Bates-Diop,SF,24,DEN,7,0,14.0,1.9,4.0,.464,0.4,1.3,.333,1.4,2.7,.526,.518,1.1,1.4,.800,0.6,1.9,2.4,0.0,0.3,0.6,0.4,1.0,5.3
Nicolas Batum,SF,31,CHO,22,3,23.0,1.3,3.7,.346,0.6,2.2,.286,0.6,1.5,.438,.432,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6
Malik Beasley,SG,23,DEN,41,0,18.2,2.9,7.3,.389,1.4,3.9,.360,1.4,3.4,.421,.485,0.8,0.9,.868,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9
Malik Beasley,SG,23,MIN,14,14,33.1,7.9,16.6,.472,3.5,8.2,.426,4.4,8.4,.517,.577,1.5,2.0,.750,0.6,4.4,5.1,1.9,0.6,0.1,1.5,1.9,20.7
Jordan Bell,C,25,MIN,27,0,8.7,1.2,2.2,.533,0.1,0.3,.222,1.1,1.9,.588,.550,0.6,1.1,.586,1.0,1.9,2.9,0.5,0.1,0.4,0.7,0.6,3.1
Jordan Bell,C,25,MEM,2,0,10.5,1.5,3.5,.429,1.0,1.5,.667,0.5,2.0,.250,.571,1.0,1.0,1.000,1.0,0.5,1.5,1.0,0.5,0.0,1.5,1.0,5.0
DeAndre' Bembry,SG,25,ATL,43,4,21.3,2.4,5.3,.456,0.3,1.5,.231,2.1,3.8,.546,.489,0.6,1.1,.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8
Dragan Bender,PF,22,GSW,9,3,21.7,3.4,7.9,.437,1.2,3.8,.324,2.2,4.1,.541,.514,0.9,1.2,.727,1.8,4.1,5.9,2.1,0.4,0.4,1.8,2.9,9.0
Patrick Beverley,PG,31,LAC,51,50,26.3,2.9,6.7,.431,1.6,4.0,.388,1.3,2.6,.496,.548,0.6,0.9,.660,1.1,4.1,5.2,3.6,1.1,0.5,1.3,3.1,7.9
Goga Bitadze,C,20,IND,54,2,8.7,1.3,2.8,.467,0.1,0.8,.190,1.1,2.0,.574,.493,0.4,0.6,.727,0.5,1.5,2.0,0.4,0.2,0.7,0.5,1.2,3.2
Bismack Biyombo,C,27,CHO,53,29,19.4,2.8,5.2,.543,0.0,0.0,0,2.8,5.2,.543,.543,1.7,2.8,.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4
Bol Bol,PF,20,DEN,7,0,12.4,2.0,4.0,.500,0.6,1.3,.444,1.4,2.7,.526,.571,1.1,1.4,.800,0.7,2.0,2.7,0.9,0.3,0.9,1.4,1.6,5.7
Marques Bolden,C,21,CLE,1,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
Jordan Bone,PG,22,DET,10,0,5.3,0.5,2.0,.250,0.2,1.0,.200,0.3,1.0,.300,.300,0.0,0.0,0,0.0,0.4,0.4,0.8,0.1,0.0,0.2,0.6,1.2
Brian Bowen,SF,21,IND,6,1,5.2,0.5,1.7,.300,0.0,0.3,.000,0.5,1.3,.375,.300,0.0,0.0,0,0.2,1.0,1.2,0.0,0.0,0.2,0.2,0.5,1.0
Ky Bowman,PG,22,GSW,45,12,22.6,3.0,7.1,.417,0.7,2.4,.308,2.2,4.8,.472,.469,0.8,0.9,.829,0.5,2.2,2.7,2.9,1.0,0.2,1.6,2.3,7.4
Avery Bradley,SG,29,LAL,49,44,24.2,3.5,7.8,.444,1.3,3.5,.364,2.2,4.3,.510,.526,0.4,0.5,.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6
Miles Bridges,SF,21,CHO,65,64,30.7,4.9,11.6,.424,1.5,4.6,.330,3.4,7.0,.486,.489,1.6,2.0,.809,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0
Ryan Broekhoff,SF,29,DAL,17,1,10.6,1.3,3.5,.373,1.2,3.0,.392,0.1,0.5,.250,.542,0.4,0.5,.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2
Malcolm Brogdon,PG,27,IND,54,54,30.9,6.0,13.8,.438,1.4,4.3,.326,4.6,9.5,.488,.489,3.1,3.4,.892,0.9,4.0,4.9,7.1,0.6,0.2,2.4,1.8,16.5
Dillon Brooks,SG,24,MEM,73,73,28.9,6.0,14.6,.407,2.0,5.6,.358,3.9,9.0,.438,.476,2.2,2.8,.808,0.9,2.4,3.3,2.1,0.9,0.4,1.7,3.8,16.2
Bruce Brown,PG,23,DET,58,43,28.2,3.4,7.7,.443,0.6,1.7,.344,2.8,6.1,.470,.480,1.5,2.1,.739,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9
Charlie Brown,SG,22,ATL,10,0,4.0,0.6,1.9,.316,0.3,0.9,.333,0.3,1.0,.300,.395,0.5,0.5,1.000,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0
Jaylen Brown,SG,23,BOS,57,57,33.9,7.5,15.6,.481,2.3,5.9,.382,5.2,9.6,.543,.554,3.1,4.3,.724,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3
Jalen Brunson,PG,23,DAL,57,16,17.9,3.2,6.8,.466,0.8,2.1,.358,2.4,4.7,.515,.522,1.1,1.3,.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2
Trey Burke,PG,27,DAL,8,1,23.9,4.4,10.3,.427,2.0,4.6,.432,2.4,5.6,.422,.524,1.3,1.4,.909,0.1,1.8,1.9,3.8,1.1,0.1,1.1,1.5,12.0
Alec Burks,SF,28,GSW,48,18,29.0,5.1,12.5,.406,1.8,4.7,.375,3.3,7.9,.424,.476,4.2,4.7,.897,0.8,3.9,4.7,3.1,1.0,0.4,1.6,2.2,16.1
Jimmy Butler,SF,30,MIA,58,58,33.8,5.9,13.1,.455,0.5,2.1,.244,5.4,11.0,.495,.474,7.6,9.1,.834,1.8,4.8,6.7,6.0,1.8,0.6,2.2,1.4,19.9
Bruno Caboclo,C,24,MEM,22,0,8.7,1.3,3.1,.406,0.2,1.1,.160,1.1,2.0,.545,.435,0.1,0.1,.667,0.8,1.2,2.0,0.5,0.5,0.5,0.3,1.0,2.8
Bruno Caboclo,C,24,HOU,8,0,6.5,1.3,2.5,.500,0.3,1.0,.250,1.0,1.5,.667,.550,0.8,0.8,1.000,0.8,1.3,2.0,0.3,0.6,0.6,0.8,1.0,3.5
Devontae Cacok,C,23,LAL,1,0,9.0,3.0,6.0,.500,0.0,0.0,0,3.0,6.0,.500,.500,0.0,0.0,0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0
Kentavious Caldwell-Pope,SG,26,LAL,69,26,25.5,3.4,7.3,.467,1.3,3.5,.385,2.1,3.9,.541,.558,1.1,1.5,.775,0.6,1.5,2.1,1.6,0.8,0.2,0.9,1.9,9.3
Vlatko Čančar,PF,22,DEN,14,0,3.2,0.4,1.1,.400,0.1,0.4,.167,0.4,0.6,.556,.433,0.3,0.3,1.000,0.4,0.4,0.7,0.2,0.1,0.1,0.2,0.5,1.2
Clint Capela,C,25,HOU,39,39,32.8,6.3,9.9,.629,0.0,0.0,0,6.3,9.9,.629,.629,1.4,2.7,.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9
DeMarre Carroll,C,33,HOU,9,0,17.2,1.8,4.1,.432,0.6,2.2,.250,1.2,1.9,.647,.500,1.9,2.4,.773,0.6,2.1,2.7,1.6,0.7,0.3,0.8,1.3,6.0
Vince Carter,PF,43,ATL,60,0,14.6,1.8,5.1,.352,1.0,3.4,.302,0.8,1.7,.451,.452,0.4,0.5,.793,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5,5.0
Wendell Carter Jr.,C,20,CHI,43,43,29.2,4.3,8.0,.534,0.1,0.7,.207,4.1,7.3,.564,.542,2.6,3.5,.737,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3
Alex Caruso,PG,25,LAL,64,2,18.4,1.9,4.5,.412,0.6,1.9,.333,1.3,2.7,.468,.481,1.1,1.5,.734,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5,5.5
Willie Cauley-Stein,C,26,GSW,41,37,22.9,3.5,6.3,.560,0.0,0.0,0,3.5,6.3,.560,.560,0.9,1.4,.614,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5,7.9
Willie Cauley-Stein,C,26,DAL,13,2,12.1,2.4,3.5,.689,0.0,0.1,.000,2.4,3.4,.705,.689,0.4,0.7,.556,1.0,3.6,4.6,0.8,0.3,0.8,0.4,1.5,5.2
Tyson Chandler,C,37,HOU,26,5,8.4,0.5,0.7,.778,0.0,0.0,0,0.5,0.7,.778,.778,0.2,0.5,.462,1.0,1.6,2.5,0.2,0.2,0.3,0.3,1.2,1.3
Wilson Chandler,PF,32,BRK,35,3,21.0,2.1,5.2,.404,1.1,3.5,.306,1.1,1.8,.597,.505,0.6,0.7,.870,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3,5.9
Joe Chealey,PG,24,CHO,4,0,8.3,0.0,1.8,.000,0.0,1.0,.000,0.0,0.8,.000,.000,0.5,0.5,1.000,0.0,0.0,0.0,0.3,1.0,0.0,0.5,0.5,0.5
Chris Chiozza,PG,24,BRK,18,2,15.4,2.5,5.9,.425,1.1,3.1,.357,1.4,2.8,.500,.519,0.3,0.3,1.000,0.5,1.6,2.1,3.1,0.6,0.1,1.3,1.4,6.4
Marquese Chriss,PF,22,GSW,59,21,20.3,3.6,6.5,.545,0.1,0.7,.205,3.4,5.9,.584,.556,2.0,2.6,.769,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1,9.3
Gary Clark,PF,25,HOU,18,0,11.8,1.3,3.3,.390,1.0,2.8,.353,0.3,0.4,.625,.542,0.3,0.4,.857,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9
Brandon Clarke,PF,23,MEM,58,4,22.4,5.1,8.3,.618,0.4,1.1,.359,4.7,7.2,.658,.642,1.5,1.9,.759,1.6,4.4,5.9,1.4,0.6,0.8,0.9,1.7,12.1
Jordan Clarkson,SG,27,CLE,29,0,23.0,5.0,11.2,.442,2.0,5.5,.371,2.9,5.8,.509,.532,2.6,3.0,.884,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6
Nicolas Claxton,C,20,BRK,15,0,12.5,1.8,3.2,.563,0.1,0.5,.143,1.7,2.7,.634,.573,0.7,1.4,.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4
Chris Clemons,SG,22,HOU,33,0,8.8,1.7,4.3,.401,1.1,3.2,.346,0.6,1.1,.571,.532,0.3,0.3,.909,0.1,0.8,0.9,0.8,0.3,0.2,0.6,0.8,4.9
Antonius Cleveland,SG,25,DAL,11,0,4.2,0.4,1.3,.286,0.0,0.3,.000,0.4,1.0,.364,.286,0.3,0.5,.600,0.2,0.5,0.6,0.1,0.1,0.3,0.2,0.7,1.0
Amir Coffey,SG,22,LAC,18,1,8.8,1.3,3.0,.426,0.3,1.1,.316,0.9,1.9,.486,.481,0.3,0.6,.545,0.2,0.7,0.9,0.8,0.3,0.1,0.4,1.1,3.2
John Collins,PF,22,ATL,41,41,33.2,8.6,14.8,.583,1.4,3.6,.401,7.2,11.2,.642,.632,2.9,3.7,.800,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6
Quinn Cook,PG,26,LAL,44,1,11.5,2.1,4.9,.425,0.7,1.9,.365,1.4,2.9,.465,.498,0.3,0.3,.786,0.3,0.9,1.2,1.1,0.3,0.0,0.8,0.6,5.1
Tyler Cook,PF,22,CLE,11,0,3.2,0.6,0.9,.700,0.0,0.0,0,0.6,0.9,.700,.700,0.5,0.5,.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7
Tyler Cook,SF,22,DEN,2,0,9.5,0.5,1.0,.500,0.0,0.0,0,0.5,1.0,.500,.500,1.0,1.0,1.000,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.5,2.0
Robert Covington,PF,29,MIN,48,47,29.4,4.5,10.3,.435,2.3,6.5,.346,2.3,3.8,.587,.544,1.6,2.0,.798,0.8,5.2,6.0,1.2,1.7,0.9,1.5,3.1,12.8
Robert Covington,C,29,HOU,22,21,33.0,4.0,10.3,.392,2.4,7.6,.315,1.6,2.7,.610,.509,1.1,1.4,.800,1.2,6.8,8.0,1.5,1.6,2.2,1.4,3.3,11.6
Allen Crabbe,SG,27,ATL,28,1,18.6,1.9,5.1,.364,1.1,3.3,.323,0.8,1.8,.440,.469,0.3,0.4,.750,0.4,2.0,2.3,1.0,0.5,0.1,0.4,1.3,5.1
Allen Crabbe,SF,27,MIN,9,0,14.6,1.2,3.8,.324,0.7,2.9,.231,0.6,0.9,.625,.412,0.1,0.2,.500,0.1,1.2,1.3,0.6,0.0,0.0,0.6,1.2,3.2
Torrey Craig,SF,29,DEN,58,27,18.5,2.1,4.6,.461,0.8,2.4,.326,1.4,2.3,.603,.545,0.4,0.6,.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4
Jamal Crawford,SG,39,BRK,1,0,6.0,2.0,4.0,.500,1.0,2.0,.500,1.0,2.0,.500,.625,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0
Jae Crowder,SF,29,MEM,45,45,29.4,3.3,8.9,.368,1.7,5.9,.293,1.5,3.0,.519,.466,1.7,2.1,.789,0.9,5.3,6.2,2.8,1.0,0.3,1.2,1.9,9.9
Jae Crowder,PF,29,MIA,20,8,27.7,4.0,8.2,.482,2.9,6.4,.445,1.1,1.8,.611,.655,1.1,1.5,.733,0.6,4.8,5.4,1.8,1.3,0.5,0.8,2.9,11.9
Jarrett Culver,SG,20,MIN,63,35,23.9,3.7,9.0,.404,1.0,3.5,.299,2.6,5.5,.471,.462,0.9,1.9,.462,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2.0,9.2
Seth Curry,SG,29,DAL,64,25,24.6,4.4,9.0,.495,2.3,5.0,.452,2.2,4.0,.549,.621,1.3,1.5,.825,0.4,1.8,2.3,1.9,0.6,0.1,1.0,1.8,12.4
Stephen Curry,PG,31,GSW,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8
Troy Daniels,SG,28,LAL,41,0,11.1,1.5,3.9,.392,1.0,2.7,.357,0.5,1.1,.478,.519,0.2,0.4,.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.2
Troy Daniels,SG,28,DEN,6,0,12.7,1.7,4.7,.357,1.0,3.3,.300,0.7,1.3,.500,.464,0.0,0.0,0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,1.2,4.3
Anthony Davis,PF,26,LAL,62,62,34.4,8.9,17.7,.503,1.2,3.5,.330,7.7,14.2,.546,.536,7.2,8.5,.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1
Dewayne Dedmon,C,30,ATL,10,8,23.3,3.3,8.4,.393,0.8,3.6,.222,2.5,4.8,.521,.440,0.7,0.8,.875,1.4,6.8,8.2,0.7,1.0,1.5,1.0,4.0,8.1
Matthew Dellavedova,PG,29,CLE,57,4,14.4,1.1,3.1,.354,0.4,1.6,.231,0.7,1.5,.488,.414,0.6,0.6,.865,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4,3.1
Gorgui Dieng,C,30,MIN,46,17,16.9,2.7,6.0,.448,1.0,2.6,.383,1.7,3.4,.497,.531,1.0,1.3,.797,1.6,4.0,5.6,1.3,0.8,0.9,1.0,1.9,7.4
Gorgui Dieng,C,30,MEM,17,0,18.7,2.5,5.1,.483,0.5,1.9,.250,2.0,3.2,.618,.529,1.8,2.5,.738,1.1,4.7,5.8,0.9,0.8,1.0,0.9,2.1,7.2
Spencer Dinwiddie,PG,26,BRK,64,49,31.2,6.6,16.0,.415,1.9,6.3,.308,4.7,9.7,.485,.476,5.4,7.0,.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6
Luka Dončić,PG,20,DAL,61,61,33.6,9.5,20.6,.463,2.8,8.9,.316,6.7,11.7,.574,.531,7.0,9.2,.758,1.3,8.1,9.4,8.8,1.0,0.2,4.3,2.5,28.8
Sekou Doumbouya,PF,19,DET,38,19,19.8,2.4,6.2,.390,0.7,2.6,.286,1.7,3.6,.464,.449,0.8,1.2,.674,0.5,2.6,3.1,0.5,0.5,0.2,0.9,2.1,6.4
PJ Dozier,SG,23,DEN,29,0,14.2,2.2,5.4,.414,0.6,1.7,.347,1.7,3.7,.444,.468,0.7,1.0,.724,0.3,1.6,1.9,2.2,0.5,0.2,0.9,1.6,5.8
Goran Dragić,PG,33,MIA,59,3,28.2,5.4,12.3,.441,2.1,5.7,.367,3.3,6.5,.505,.526,3.2,4.2,.776,0.5,2.7,3.2,5.1,0.7,0.2,2.4,2.1,16.2
Andre Drummond,C,26,DET,49,48,33.8,7.3,13.9,.530,0.0,0.4,.048,7.3,13.4,.546,.531,3.0,5.2,.584,4.6,11.2,15.8,2.8,2.0,1.7,3.6,3.6,17.8
Andre Drummond,C,26,CLE,8,8,28.1,7.3,13.1,.552,0.5,1.8,.286,6.8,11.4,.593,.571,2.5,4.9,.513,3.0,8.1,11.1,1.8,1.5,1.4,3.6,3.1,17.5
Jared Dudley,PF,34,LAL,45,1,8.1,0.5,1.3,.400,0.4,0.9,.429,0.1,0.4,.333,.550,0.0,0.0,1.000,0.1,1.0,1.2,0.6,0.3,0.1,0.2,0.9,1.5
Kris Dunn,PG,25,CHI,51,32,24.9,3.0,6.7,.444,0.6,2.2,.259,2.4,4.5,.535,.487,0.8,1.1,.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3
Carsen Edwards,SG,21,BOS,37,0,9.5,1.1,3.5,.328,0.6,2.1,.316,0.5,1.4,.346,.422,0.4,0.5,.684,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.9,3.3
Henry Ellenson,C,23,BRK,5,0,3.0,0.2,1.4,.143,0.0,0.8,.000,0.2,0.6,.333,.143,0.0,0.0,0,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4
Jacob Evans,SG,22,GSW,27,1,15.3,1.7,4.9,.338,0.5,1.4,.342,1.2,3.5,.337,.387,0.9,1.1,.862,0.3,1.2,1.5,1.1,0.4,0.4,0.9,1.5,4.7
Jacob Evans,SG,22,MIN,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante Exum,SG,24,CLE,24,1,16.8,1.9,4.0,.479,0.5,1.5,.351,1.4,2.5,.559,.547,1.3,1.7,.732,0.4,1.9,2.3,1.4,0.5,0.3,0.9,1.3,5.6
Tacko Fall,C,24,BOS,7,0,4.7,1.6,2.0,.786,0.0,0.0,0,1.6,2.0,.786,.786,0.1,0.4,.333,0.1,2.0,2.1,0.1,0.1,0.6,0.4,1.0,3.3
Cristiano Felício,C,27,CHI,22,0,17.5,1.5,2.5,.630,0.0,0.1,.000,1.5,2.4,.654,.630,0.8,1.0,.783,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9
Bruno Fernando,C,21,ATL,56,13,12.7,1.8,3.6,.518,0.1,0.7,.135,1.8,2.9,.605,.530,0.5,0.9,.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
Dorian Finney-Smith,PF,26,DAL,71,68,29.9,3.4,7.4,.466,1.6,4.3,.376,1.8,3.1,.589,.575,1.1,1.5,.722,2.0,3.7,5.7,1.6,0.6,0.5,1.0,2.5,9.5
Michael Frazier,SG,25,HOU,13,0,11.2,0.5,2.2,.241,0.3,1.8,.174,0.2,0.5,.500,.310,0.7,1.1,.643,0.1,0.7,0.8,0.2,0.2,0.0,0.4,1.7,2.1
Tim Frazier,PG,29,DET,27,11,13.1,1.3,3.5,.362,0.4,1.1,.333,0.9,2.4,.375,.415,0.7,0.9,.792,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6
Daniel Gafford,C,21,CHI,43,7,14.2,2.2,3.1,.701,0.0,0.0,0,2.2,3.1,.701,.701,0.7,1.4,.533,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1
Langston Galloway,SG,28,DET,66,6,25.8,3.6,8.2,.435,2.0,5.0,.399,1.6,3.2,.493,.557,1.1,1.3,.859,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3
Darius Garland,SG,20,CLE,59,59,30.9,4.7,11.8,.401,1.8,5.0,.355,3.0,6.8,.434,.476,1.1,1.2,.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3
Paul George,SF,29,LAC,48,48,29.6,7.1,16.3,.439,3.3,7.9,.412,3.9,8.4,.464,.539,4.0,4.5,.876,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5
Brandon Goodwin,PG,24,ATL,34,1,12.6,2.2,5.6,.400,0.8,2.6,.299,1.5,3.0,.485,.468,0.8,0.9,.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
Eric Gordon,SF,31,HOU,36,15,28.2,4.8,12.9,.369,2.7,8.4,.317,2.1,4.4,.469,.473,2.3,3.0,.766,0.3,1.7,2.0,1.5,0.6,0.4,1.2,1.9,14.4
Devonte' Graham,PG,24,CHO,63,53,35.1,5.8,15.3,.382,3.5,9.3,.373,2.4,6.0,.397,.495,3.0,3.7,.820,0.7,2.7,3.4,7.5,1.0,0.2,2.9,1.8,18.2
